,1,2,3,5,7,10,14,21,30,45,60,90
0-10,52.63157894736842,52.63157894736842,55.26315789473685,57.89473684210527,60.526315789473685,54.054054054054056,51.42857142857142,60.60606060606061,75.75757575757575,71.875,85.71428571428571,41.17647058823529
10-20,52.736318407960205,55.00000000000001,59.2964824120603,59.89847715736041,53.84615384615385,57.51295336787565,61.78010471204188,57.52688172043011,54.14364640883977,50.0,55.487804878048784,47.43589743589743
20-30,49.78991596638656,52.73109243697479,50.84033613445378,51.470588235294116,49.36974789915966,52.3109243697479,50.84033613445378,49.36974789915966,50.0,50.74309978768577,47.983014861995755,47.608695652173914
30-40,46.53061224489796,48.16326530612245,48.57142857142857,50.61224489795918,46.12244897959184,47.3469387755102,42.44897959183673,43.673469387755105,46.53061224489796,49.38775510204081,51.42857142857142,54.09836065573771
40-60,49.926793557833086,52.12298682284041,52.7086383601757,53.58711566617862,53.58711566617862,53.294289897510986,56.36896046852124,58.12591508052709,58.41874084919473,56.8081991215227,57.10102489019033,63.86430678466076
60-70,54.54545454545454,53.45454545454545,54.18181818181819,52.36363636363637,56.36363636363636,59.63636363636363,57.09090909090909,58.54545454545455,61.45454545454545,58.909090909090914,54.90909090909091,67.15328467153284
70-80,48.51063829787234,50.638297872340424,51.91489361702127,52.34042553191489,53.829787234042556,52.97872340425533,53.829787234042556,46.38297872340426,45.31914893617021,49.148936170212764,50.851063829787236,51.70212765957447
80-90,54.83870967741935,59.13978494623656,58.06451612903226,60.215053763440864,54.83870967741935,61.29032258064516,58.06451612903226,66.66666666666666,60.215053763440864,61.29032258064516,56.98924731182796,60.215053763440864
90-100,65.27777777777779,68.05555555555556,63.888888888888886,62.5,65.27777777777779,68.05555555555556,72.22222222222221,83.33333333333334,88.88888888888889,93.05555555555556,90.27777777777779,79.16666666666666
