,1,2,3,5,7,10,14,21,30,45,60,90
0-10,47.368421052631575,47.368421052631575,36.84210526315789,42.10526315789473,33.33333333333333,58.82352941176471,62.5,62.5,66.66666666666666,0.0,0.0,33.33333333333333
10-20,49.549549549549546,40.0,38.53211009174312,43.925233644859816,47.16981132075472,38.46153846153847,38.613861386138616,43.87755102040816,43.956043956043956,20.0,39.02439024390244,53.246753246753244
20-30,50.170648464163826,47.44027303754266,49.48805460750853,48.122866894197955,48.4641638225256,48.122866894197955,41.979522184300336,41.522491349480966,42.36111111111111,40.97222222222222,40.0,35.797665369649806
30-40,49.122807017543856,48.24561403508772,44.73684210526316,35.96491228070175,35.96491228070175,35.08771929824561,33.33333333333333,35.96491228070175,38.59649122807017,39.473684210526315,29.20353982300885,28.31858407079646
40-60,43.17617866004963,42.92803970223325,43.424317617866,42.18362282878412,43.920595533498755,41.19106699751861,39.70223325062035,32.754342431761785,29.280397022332505,27.791563275434246,21.94513715710723,15.789473684210526
60-70,44.666666666666664,32.0,30.666666666666664,29.333333333333332,25.333333333333336,22.0,16.666666666666664,12.0,11.333333333333332,8.0,9.395973154362416,6.0402684563758395
70-80,38.63636363636363,36.688311688311686,37.66233766233766,36.038961038961034,33.116883116883116,26.623376623376622,21.753246753246753,24.350649350649352,24.350649350649352,18.83116883116883,17.532467532467532,22.4025974025974
80-90,44.26229508196721,40.98360655737705,29.508196721311474,32.78688524590164,26.229508196721312,26.229508196721312,32.78688524590164,37.704918032786885,49.18032786885246,8.19672131147541,16.39344262295082,32.78688524590164
90-100,46.666666666666664,48.888888888888886,55.55555555555556,42.22222222222222,37.77777777777778,33.33333333333333,22.22222222222222,8.88888888888889,6.666666666666667,0.0,2.2222222222222223,4.444444444444445
