,1,2,3,5,7,10,14,21,30,45,60,90
0-10,52.63157894736842,52.63157894736842,63.1578947368421,57.89473684210527,66.66666666666666,41.17647058823529,37.5,37.5,33.33333333333333,100.0,100.0,66.66666666666666
10-20,50.45045045045045,60.0,61.46788990825688,56.074766355140184,52.83018867924528,61.53846153846154,61.386138613861384,56.12244897959183,56.043956043956044,80.0,60.97560975609756,46.75324675324675
20-30,49.829351535836174,52.55972696245734,50.51194539249146,51.877133105802045,51.5358361774744,51.877133105802045,58.02047781569966,58.47750865051903,57.638888888888886,59.02777777777778,59.64285714285714,64.2023346303502
30-40,50.877192982456144,51.75438596491229,55.26315789473685,64.03508771929825,64.03508771929825,64.91228070175438,66.66666666666666,64.03508771929825,61.40350877192983,60.526315789473685,70.79646017699115,71.68141592920354
40-60,56.32754342431762,57.07196029776674,56.32754342431762,57.81637717121588,55.831265508684865,58.80893300248139,60.049627791563275,67.24565756823822,70.71960297766749,72.20843672456576,78.05486284289277,84.21052631578947
60-70,55.333333333333336,67.33333333333333,69.33333333333334,70.66666666666667,74.66666666666667,78.0,83.33333333333334,88.0,88.66666666666667,92.0,90.60402684563759,93.95973154362416
70-80,61.36363636363637,63.31168831168831,62.33766233766234,63.961038961038966,66.88311688311688,73.37662337662337,78.24675324675324,75.64935064935064,75.64935064935064,81.16883116883116,82.46753246753246,77.59740259740259
80-90,55.73770491803278,59.01639344262295,70.49180327868852,67.21311475409836,73.77049180327869,73.77049180327869,67.21311475409836,62.295081967213115,50.81967213114754,91.80327868852459,83.60655737704919,67.21311475409836
90-100,53.333333333333336,51.11111111111111,44.44444444444444,57.77777777777777,62.22222222222222,66.66666666666666,77.77777777777779,91.11111111111111,93.33333333333333,100.0,97.77777777777777,95.55555555555556
