,1,2,3,4,5
停損賣出,68.75,62.5,73.33333333333333,73.33333333333333,80.0
買入,40.38461538461539,38.46153846153847,43.13725490196079,50.98039215686274,40.42553191489361
看多,37.5,33.92857142857143,33.92857142857143,36.36363636363637,40.0
計畫買入,36.0,32.0,29.166666666666668,20.833333333333336,25.0
持有,30.76923076923077,30.76923076923077,46.15384615384615,38.46153846153847,23.076923076923077
被套,65.85365853658537,53.65853658536586,53.84615384615385,67.56756756756756,51.35135135135135
賣出,84.61538461538461,76.92307692307693,84.61538461538461,69.23076923076923,53.84615384615385
看空,53.84615384615385,53.84615384615385,46.15384615384615,46.15384615384615,38.46153846153847
